Latitude,Longitude,QuadKey
86,-180,0
87,-180,0
88,-180,0
89,-180,0
90,-180,0
85,-180,2202022020
86,-179,10110110000
87,-179,10110110000
88,-179,10110110000
89,-179,10110110000
90,-179,10110110000
85,-179,12312132020
86,-178,101101100000
87,-178,101101100000
88,-178,101101100000
89,-178,101101100000
90,-178,101101100000
85,-178,103303122020
86,-177,1000100010001
87,-177,1000100010001
88,-177,1000100010001
89,-177,1000100010001
90,-177,1000100010001
85,-177,1002302032021
86,-176,1011011000001
87,-176,1011011000001
88,-176,1011011000001
89,-176,1011011000001
90,-176,1011011000001
85,-176,1013213022021
86,-175,1110001110001
87,-175,1110001110001
88,-175,1110001110001
89,-175,1110001110001
90,-175,1110001110001
85,-175,1112203132021
86,-174,10001000100010
87,-174,10001000100010
88,-174,10001000100010
89,-174,10001000100010
90,-174,10001000100010
85,-174,10003202122030
86,-173,10011111010010
87,-173,10011111010010
88,-173,10011111010010
89,-173,10011111010010
90,-173,10011111010010
85,-173,10013313032030
86,-172,10110110000010
87,-172,10110110000010
88,-172,10110110000010
89,-172,10110110000010
90,-172,10110110000010
85,-172,10112312022030
86,-171,11001100110011
87,-171,11001100110011
88,-171,11001100110011
89,-171,11001100110011
90,-171,11001100110011
85,-171,11003302132031
86,-170,11100011100011
87,-170,11100011100011
88,-170,11100011100011
89,-170,11100011100011
90,-170,11100011100011
85,-170,11102213122031
86,-169,11111010010011
87,-169,11111010010011
88,-169,11111010010011
89,-169,11111010010011
90,-169,11111010010011
85,-169,11113212032031
84,-180,22222022022222
84,-179,22232132132222
84,-178,22323123122222
84,-177,23222122032223
84,-176,23233033022223
84,-175,23332023132223
84,-174,32223022122232
84,-173,32233133032232
84,-172,32332132022232
84,-171,33223122132233
84,-170,33322033122233
84,-169,33333032032233
86,-168,100010001000100
87,-168,100010001000100
88,-168,100010001000100
89,-168,100010001000100
90,-168,100010001000100
85,-168,100012203022120
86,-167,100100111110100
87,-167,100100111110100
88,-167,100100111110100
89,-167,100100111110100
90,-167,100100111110100
85,-167,100102313132120
86,-166,100111110100100
87,-166,100111110100100
88,-166,100111110100100
89,-166,100111110100100
90,-166,100111110100100
85,-166,100113312122120
86,-165,101010101010101
87,-165,101010101010101
88,-165,101010101010101
89,-165,101010101010101
90,-165,101010101010101
85,-165,101012303032121
86,-164,101101100000101
87,-164,101101100000101
88,-164,101101100000101
89,-164,101101100000101
90,-164,101101100000101
85,-164,101103302022121
86,-163,110000010110110
87,-163,110000010110110
88,-163,110000010110110
89,-163,110000010110110
90,-163,110000010110110
85,-163,110002212132130
86,-162,110011001100110
87,-162,110011001100110
88,-162,110011001100110
89,-162,110011001100110
90,-162,110011001100110
85,-162,110013203122130
86,-161,110110000010110
87,-161,110110000010110
88,-161,110110000010110
89,-161,110110000010110
90,-161,110110000010110
85,-161,110112202032130
86,-160,111000111000111
87,-160,111000111000111
88,-160,111000111000111
89,-160,111000111000111
90,-160,111000111000111
85,-160,111002313022131
86,-159,111011101110111
87,-159,111011101110111
88,-159,111011101110111
89,-159,111011101110111
90,-159,111011101110111
85,-159,111013303132131
86,-158,111110100100111
87,-158,111110100100111
88,-158,111110100100111
89,-158,111110100100111
90,-158,111110100100111
85,-158,111112302122131
84,-168,122232023022322
84,-167,122322133132322
84,-166,122333132122322
84,-165,123232123032323
84,-164,123323122022323
84,-163,132222032132332
84,-162,132233023122332
84,-161,132332022032332
84,-160,133222133022333
84,-159,133233123132333
84,-158,133332122122333
83,-180,222000200222002
83,-179,222010310332002
